Annotator 192.168.1.8:8080.run checkpoint 1
ReutersNewItem 109 already annotated!
ReutersNewItem 110 already annotated!
ReutersNewItem 111 already annotated!
ReutersNewItem 112 already annotated!
ReutersNewItem 113 already annotated!
ReutersNewItem 114 already annotated!
ReutersNewItem 115 already annotated!
ReutersNewItem 116 already annotated!
ReutersNewItem 117 already annotated!
ReutersNewItem 118 already annotated!
ReutersNewItem 119 already annotated!
ReutersNewItem 120 already annotated!
ReutersNewItem 121 already annotated!
ReutersNewItem 122 already annotated!
ReutersNewItem 123 already annotated!
ReutersNewItem 124 already annotated!
ReutersNewItem 125 already annotated!
ReutersNewItem 126 already annotated!
ReutersNewItem 127 already annotated!
ReutersNewItem 128 already annotated!
ReutersNewItem 129 already annotated!
ReutersNewItem 130 already annotated!
ReutersNewItem 131 already annotated!
ReutersNewItem 132 already annotated!
ReutersNewItem 133 already annotated!
ReutersNewItem 135 already annotated!
ReutersNewItem 136 already annotated!
ReutersNewItem 137 already annotated!
ReutersNewItem 138 already annotated!
ReutersNewItem 139 already annotated!
ReutersNewItem 140 already annotated!
ReutersNewItem 141 already annotated!
ReutersNewItem 142 already annotated!
ReutersNewItem 143 already annotated!
ReutersNewItem 144 already annotated!
ReutersNewItem 145 already annotated!
ReutersNewItem 146 already annotated!
ReutersNewItem 147 already annotated!
ReutersNewItem 148 already annotated!
ReutersNewItem 149 already annotated!
ReutersNewItem 150 already annotated!
ReutersNewItem 151 already annotated!
ReutersNewItem 152 already annotated!
ReutersNewItem 153 already annotated!
ReutersNewItem 154 already annotated!
ReutersNewItem 155 already annotated!
ReutersNewItem 156 already annotated!
ReutersNewItem 157 already annotated!
ReutersNewItem 158 already annotated!
ReutersNewItem 159 already annotated!
ReutersNewItem 160 already annotated!
ReutersNewItem 161 already annotated!
ReutersNewItem 162 already annotated!
ReutersNewItem 163 already annotated!
ReutersNewItem 164 already annotated!
ReutersNewItem 165 already annotated!
ReutersNewItem 166 already annotated!
ReutersNewItem 167 already annotated!
ReutersNewItem 168 already annotated!
ReutersNewItem 169 already annotated!
ReutersNewItem 170 already annotated!
ReutersNewItem 171 already annotated!
ReutersNewItem 172 already annotated!
ReutersNewItem 173 already annotated!
ReutersNewItem 174 already annotated!
ReutersNewItem 175 already annotated!
ReutersNewItem 176 already annotated!
ReutersNewItem 177 already annotated!
ReutersNewItem 178 already annotated!
ReutersNewItem 179 already annotated!
ReutersNewItem 180 already annotated!
ReutersNewItem 181 already annotated!
ReutersNewItem 182 already annotated!
ReutersNewItem 183 already annotated!
ReutersNewItem 184 already annotated!
ReutersNewItem 185 already annotated!
ReutersNewItem 186 already annotated!
ReutersNewItem 187 already annotated!
ReutersNewItem 188 already annotated!
ReutersNewItem 189 already annotated!
ReutersNewItem 190 already annotated!
ReutersNewItem 191 already annotated!
ReutersNewItem 192 already annotated!
ReutersNewItem 193 already annotated!
ReutersNewItem 194 already annotated!
ReutersNewItem 195 already annotated!
ReutersNewItem 196 already annotated!
ReutersNewItem 197 already annotated!
ReutersNewItem 198 already annotated!
ReutersNewItem 199 already annotated!
ReutersNewItem 200 already annotated!
ReutersNewItem 201 already annotated!
ReutersNewItem 202 already annotated!
ReutersNewItem 203 already annotated!
ReutersNewItem 204 already annotated!
ReutersNewItem 205 already annotated!
ReutersNewItem 206 already annotated!
ReutersNewItem 207 already annotated!
ReutersNewItem 208 already annotated!
ReutersNewItem 209 already annotated!
ReutersNewItem 210 already annotated!
ReutersNewItem 211 already annotated!
ReutersNewItem 212 already annotated!
ReutersNewItem 213 already annotated!
ReutersNewItem 214 already annotated!
ReutersNewItem 216 already annotated!
ReutersNewItem 217 already annotated!
ReutersNewItem 218 already annotated!
ReutersNewItem 219 already annotated!
ReutersNewItem 220 already annotated!
ReutersNewItem 221 already annotated!
ReutersNewItem 222 already annotated!
ReutersNewItem 223 already annotated!
ReutersNewItem 224 already annotated!
ReutersNewItem 225 already annotated!
ReutersNewItem 226 already annotated!
ReutersNewItem 227 already annotated!
ReutersNewItem 228 already annotated!
ReutersNewItem 229 already annotated!
ReutersNewItem 230 already annotated!
ReutersNewItem 231 already annotated!
ReutersNewItem 232 already annotated!
ReutersNewItem 233 already annotated!
ReutersNewItem 234 already annotated!
ReutersNewItem 235 already annotated!
ReutersNewItem 236 already annotated!
ReutersNewItem 237 already annotated!
ReutersNewItem 238 already annotated!
ReutersNewItem 240 already annotated!
ReutersNewItem 241 already annotated!
ReutersNewItem 242 already annotated!
ReutersNewItem 243 already annotated!
ReutersNewItem 245 already annotated!
ReutersNewItem 246 already annotated!
ReutersNewItem 247 already annotated!
ReutersNewItem 248 already annotated!
ReutersNewItem 249 already annotated!
ReutersNewItem 250 already annotated!
ReutersNewItem 251 already annotated!
ReutersNewItem 252 already annotated!
ReutersNewItem 253 already annotated!
ReutersNewItem 254 already annotated!
ReutersNewItem 255 already annotated!
ReutersNewItem 256 already annotated!
ReutersNewItem 257 already annotated!
ReutersNewItem 258 already annotated!
ReutersNewItem 259 already annotated!
ReutersNewItem 260 already annotated!
ReutersNewItem 261 already annotated!
ReutersNewItem 262 already annotated!
ReutersNewItem 263 already annotated!
ReutersNewItem 264 already annotated!
ReutersNewItem 265 already annotated!
ReutersNewItem 266 already annotated!
ReutersNewItem 267 already annotated!
ReutersNewItem 268 already annotated!
ReutersNewItem 269 already annotated!
ReutersNewItem 270 already annotated!
ReutersNewItem 271 already annotated!
ReutersNewItem 272 already annotated!
ReutersNewItem 273 already annotated!
ReutersNewItem 274 already annotated!
ReutersNewItem 275 already annotated!
ReutersNewItem 276 already annotated!
ReutersNewItem 277 already annotated!
ReutersNewItem 278 already annotated!
ReutersNewItem 279 already annotated!
ReutersNewItem 280 already annotated!
ReutersNewItem 281 already annotated!
ReutersNewItem 282 already annotated!
ReutersNewItem 283 already annotated!
ReutersNewItem 284 already annotated!
ReutersNewItem 285 already annotated!
ReutersNewItem 286 already annotated!
ReutersNewItem 287 already annotated!
ReutersNewItem 288 already annotated!
ReutersNewItem 289 already annotated!
ReutersNewItem 290 already annotated!
ReutersNewItem 291 already annotated!
ReutersNewItem 292 already annotated!
ReutersNewItem 293 already annotated!
ReutersNewItem 294 already annotated!
ReutersNewItem 295 already annotated!
ReutersNewItem 296 already annotated!
ReutersNewItem 297 already annotated!
ReutersNewItem 298 already annotated!
ReutersNewItem 299 already annotated!
ReutersNewItem 300 already annotated!
ReutersNewItem 301 already annotated!
ReutersNewItem 302 already annotated!
ReutersNewItem 303 already annotated!
ReutersNewItem 304 already annotated!
ReutersNewItem 305 already annotated!
ReutersNewItem 306 already annotated!
ReutersNewItem 307 already annotated!
ReutersNewItem 308 already annotated!
ReutersNewItem 309 already annotated!
ReutersNewItem 310 already annotated!
ReutersNewItem 311 already annotated!
ReutersNewItem 312 already annotated!
ReutersNewItem 313 already annotated!
ReutersNewItem 314 already annotated!
ReutersNewItem 315 already annotated!
ReutersNewItem 316 already annotated!
ReutersNewItem 317 already annotated!
ReutersNewItem 318 already annotated!
ReutersNewItem 319 already annotated!
ReutersNewItem 320 already annotated!
ReutersNewItem 321 already annotated!
ReutersNewItem 322 already annotated!
ReutersNewItem 323 already annotated!
ReutersNewItem 324 already annotated!
ReutersNewItem 325 already annotated!
ReutersNewItem 326 already annotated!
ReutersNewItem 327 already annotated!
ReutersNewItem 328 already annotated!
ReutersNewItem 329 already annotated!
ReutersNewItem 330 already annotated!
ReutersNewItem 331 already annotated!
ReutersNewItem 332 already annotated!
ReutersNewItem 333 already annotated!
ReutersNewItem 334 already annotated!
ReutersNewItem 335 already annotated!
ReutersNewItem 336 already annotated!
ReutersNewItem 337 already annotated!
ReutersNewItem 338 already annotated!
ReutersNewItem 339 already annotated!
ReutersNewItem 340 already annotated!
ReutersNewItem 341 already annotated!
ReutersNewItem 342 already annotated!
ReutersNewItem 343 already annotated!
ReutersNewItem 344 already annotated!
ReutersNewItem 345 already annotated!
ReutersNewItem 346 already annotated!
ReutersNewItem 347 already annotated!
ReutersNewItem 348 already annotated!
ReutersNewItem 349 already annotated!
ReutersNewItem 350 already annotated!
ReutersNewItem 351 already annotated!
ReutersNewItem 352 already annotated!
ReutersNewItem 353 already annotated!
ReutersNewItem 354 already annotated!
ReutersNewItem 355 already annotated!
ReutersNewItem 356 already annotated!
ReutersNewItem 357 already annotated!
ReutersNewItem 358 already annotated!
ReutersNewItem 359 already annotated!
ReutersNewItem 360 already annotated!
ReutersNewItem 361 already annotated!
ReutersNewItem 362 already annotated!
ReutersNewItem 363 already annotated!
ReutersNewItem 364 already annotated!
ReutersNewItem 365 already annotated!
ReutersNewItem 366 already annotated!
ReutersNewItem 367 already annotated!
ReutersNewItem 368 already annotated!
ReutersNewItem 369 already annotated!
ReutersNewItem 370 already annotated!
ReutersNewItem 371 already annotated!
ReutersNewItem 372 already annotated!
ReutersNewItem 373 already annotated!
ReutersNewItem 374 already annotated!
ReutersNewItem 375 already annotated!
ReutersNewItem 376 already annotated!
ReutersNewItem 377 already annotated!
ReutersNewItem 378 already annotated!
ReutersNewItem 379 already annotated!
ReutersNewItem 380 already annotated!
ReutersNewItem 381 already annotated!
ReutersNewItem 382 already annotated!
ReutersNewItem 383 already annotated!
ReutersNewItem 384 already annotated!
ReutersNewItem 385 already annotated!
ReutersNewItem 386 already annotated!
ReutersNewItem 387 already annotated!
ReutersNewItem 388 already annotated!
ReutersNewItem 389 already annotated!
ReutersNewItem 390 already annotated!
ReutersNewItem 391 already annotated!
ReutersNewItem 392 already annotated!
ReutersNewItem 393 already annotated!
ReutersNewItem 394 already annotated!
ReutersNewItem 395 already annotated!
ReutersNewItem 396 already annotated!
ReutersNewItem 397 already annotated!
ReutersNewItem 398 already annotated!
ReutersNewItem 399 already annotated!
ReutersNewItem 400 already annotated!
ReutersNewItem 401 already annotated!
ReutersNewItem 402 already annotated!
ReutersNewItem 403 already annotated!
ReutersNewItem 404 already annotated!
ReutersNewItem 405 already annotated!
ReutersNewItem 406 already annotated!
ReutersNewItem 407 already annotated!
ReutersNewItem 408 already annotated!
ReutersNewItem 409 already annotated!
ReutersNewItem 410 already annotated!
ReutersNewItem 411 already annotated!
ReutersNewItem 412 already annotated!
ReutersNewItem 413 already annotated!
ReutersNewItem 414 already annotated!
ReutersNewItem 415 already annotated!
ReutersNewItem 416 already annotated!
ReutersNewItem 417 already annotated!
ReutersNewItem 418 already annotated!
ReutersNewItem 419 already annotated!
ReutersNewItem 420 already annotated!
ReutersNewItem 421 already annotated!
ReutersNewItem 422 already annotated!
ReutersNewItem 423 already annotated!
ReutersNewItem 424 already annotated!
ReutersNewItem 425 already annotated!
ReutersNewItem 426 already annotated!
ReutersNewItem 427 already annotated!
ReutersNewItem 428 already annotated!
ReutersNewItem 429 already annotated!
ReutersNewItem 430 already annotated!
ReutersNewItem 431 already annotated!
ReutersNewItem 432 already annotated!
ReutersNewItem 433 already annotated!
ReutersNewItem 434 already annotated!
ReutersNewItem 435 already annotated!
ReutersNewItem 437 already annotated!
ReutersNewItem 438 already annotated!
ReutersNewItem 439 already annotated!
ReutersNewItem 440 already annotated!
ReutersNewItem 441 already annotated!
ReutersNewItem 442 already annotated!
ReutersNewItem 443 already annotated!
ReutersNewItem 444 already annotated!
ReutersNewItem 445 already annotated!
ReutersNewItem 446 already annotated!
ReutersNewItem 447 already annotated!
ReutersNewItem 448 already annotated!
ReutersNewItem 449 already annotated!
ReutersNewItem 450 already annotated!
ReutersNewItem 451 already annotated!
ReutersNewItem 452 already annotated!
ReutersNewItem 454 already annotated!
ReutersNewItem 455 already annotated!
ReutersNewItem 456 already annotated!
ReutersNewItem 457 already annotated!
ReutersNewItem 458 already annotated!
ReutersNewItem 459 already annotated!
ReutersNewItem 460 already annotated!
ReutersNewItem 461 already annotated!
ReutersNewItem 462 already annotated!
ReutersNewItem 463 already annotated!
ReutersNewItem 464 already annotated!
ReutersNewItem 465 already annotated!
ReutersNewItem 466 already annotated!
ReutersNewItem 467 already annotated!
ReutersNewItem 468 already annotated!
ReutersNewItem 469 already annotated!
ReutersNewItem 470 already annotated!
ReutersNewItem 471 already annotated!
ReutersNewItem 472 already annotated!
ReutersNewItem 473 already annotated!
ReutersNewItem 474 already annotated!
ReutersNewItem 475 already annotated!
ReutersNewItem 476 already annotated!
ReutersNewItem 477 already annotated!
ReutersNewItem 478 already annotated!
ReutersNewItem 479 already annotated!
ReutersNewItem 480 already annotated!
ReutersNewItem 481 already annotated!
ReutersNewItem 482 already annotated!
ReutersNewItem 483 already annotated!
ReutersNewItem 484 already annotated!
ReutersNewItem 485 already annotated!
ReutersNewItem 486 already annotated!
ReutersNewItem 487 already annotated!
ReutersNewItem 488 already annotated!
ReutersNewItem 489 already annotated!
ReutersNewItem 490 already annotated!
ReutersNewItem 491 already annotated!
ReutersNewItem 492 already annotated!
ReutersNewItem 493 already annotated!
ReutersNewItem 494 already annotated!
ReutersNewItem 495 already annotated!
ReutersNewItem 496 already annotated!
ReutersNewItem 497 already annotated!
ReutersNewItem 498 already annotated!
ReutersNewItem 499 already annotated!
ReutersNewItem 500 already annotated!
ReutersNewItem 501 already annotated!
ReutersNewItem 502 already annotated!
ReutersNewItem 504 already annotated!
ReutersNewItem 505 already annotated!
ReutersNewItem 506 already annotated!
ReutersNewItem 507 already annotated!
ReutersNewItem 508 already annotated!
Error while annotating resource ReutersNewItem

["script/admin_task.rb:376:in `sleep'", "script/admin_task.rb:376:in `<top (required)>'", "/usr/local/lib/ruby/gems/1.9.1/gems/railties-3.1.0/lib/rails/commands/runner.rb:47:in `eval'", "/usr/local/lib/ruby/gems/1.9.1/gems/railties-3.1.0/lib/rails/commands/runner.rb:47:in `<top (required)>'", "/usr/local/lib/ruby/gems/1.9.1/gems/railties-3.1.0/lib/rails/commands.rb:63:in `require'", "/usr/local/lib/ruby/gems/1.9.1/gems/railties-3.1.0/lib/rails/commands.rb:63:in `<top (required)>'", "script/rails:6:in `require'", "script/rails:6:in `<main>'"]
